AAA044O16.genome.CDS.1804,group01861
AAA044O16.genome.CDS.1795,group00841
AAA044O16.genome.CDS.1639,group00226
AAA044O16.genome.CDS.1637,group00750
AAA044O16.genome.CDS.1636,group07485
AAA044O16.genome.CDS.1635,group00654
AAA044O16.genome.CDS.1634,group00575
AAA044O16.genome.CDS.1633,group00114
AAA044O16.genome.CDS.1632,group00049
AAA044O16.genome.CDS.1631,group00049
AAA044O16.genome.CDS.1630,group00010
AAA044O16.genome.CDS.1758,group11259
AAA044O16.genome.CDS.1759,group00435
AAA044O16.genome.CDS.1750,group08226
AAA044O16.genome.CDS.1751,group01626
AAA044O16.genome.CDS.1752,group12383
AAA044O16.genome.CDS.1754,group10728
AAA044O16.genome.CDS.1755,group00767
AAA044O16.genome.CDS.1756,group04969
AAA044O16.genome.CDS.1757,group00560
AAA044O16.genome.CDS.1918,group00443
AAA044O16.genome.CDS.1919,group00212
AAA044O16.genome.CDS.1916,group00380
AAA044O16.genome.CDS.1917,group00272
AAA044O16.genome.CDS.1914,group00388
AAA044O16.genome.CDS.1915,group03451
AAA044O16.genome.CDS.1912,group00506
AAA044O16.genome.CDS.1913,group00507
AAA044O16.genome.CDS.1910,group00780
AAA044O16.genome.CDS.1911,group00269
AAA044O16.genome.CDS.2399,group01017
AAA044O16.genome.CDS.2398,group01644
AAA044O16.genome.CDS.2395,group00687
AAA044O16.genome.CDS.2394,group01092
AAA044O16.genome.CDS.2397,group10949
AAA044O16.genome.CDS.2396,group03454
AAA044O16.genome.CDS.2391,group11565
AAA044O16.genome.CDS.2390,group07694
AAA044O16.genome.CDS.2393,group05340
AAA044O16.genome.CDS.2392,group08192
AAA044O16.genome.CDS.2009,group02176
AAA044O16.genome.CDS.2008,group00608
AAA044O16.genome.CDS.2005,group00255
AAA044O16.genome.CDS.2004,group01402
AAA044O16.genome.CDS.2007,group00908
AAA044O16.genome.CDS.2006,group01489
AAA044O16.genome.CDS.2001,group07495
AAA044O16.genome.CDS.2000,group05108
AAA044O16.genome.CDS.2003,group05336
AAA044O16.genome.CDS.2002,group05334
AAA044O16.genome.CDS.2625,group00064
AAA044O16.genome.CDS.2627,group00276
AAA044O16.genome.CDS.2626,group00960
AAA044O16.genome.CDS.2621,group05272
AAA044O16.genome.CDS.2620,group00476
AAA044O16.genome.CDS.2623,group00065
AAA044O16.genome.CDS.2622,group00047
AAA044O16.genome.CDS.2629,group00703
AAA044O16.genome.CDS.2628,group00674
AAA044O16.genome.CDS.2711,group00363
AAA044O16.genome.CDS.2710,group00545
AAA044O16.genome.CDS.2712,group01000
AAA044O16.genome.CDS.2715,group00306
AAA044O16.genome.CDS.2714,group00284
AAA044O16.genome.CDS.2717,group01829
AAA044O16.genome.CDS.2716,group00202
AAA044O16.genome.CDS.2719,group00362
AAA044O16.genome.CDS.2718,group00394
AAA044O16.genome.CDS.2539,group00471
AAA044O16.genome.CDS.2538,group00453
AAA044O16.genome.CDS.2531,group00160
AAA044O16.genome.CDS.2530,group08333
AAA044O16.genome.CDS.2533,group00137
AAA044O16.genome.CDS.2532,group12777
AAA044O16.genome.CDS.2535,group00275
AAA044O16.genome.CDS.2534,group00354
AAA044O16.genome.CDS.2537,group00013
AAA044O16.genome.CDS.2536,group00395
AAA044O16.genome.CDS.1620,group00698
AAA044O16.genome.CDS.1621,group00723
AAA044O16.genome.CDS.1622,group00644
AAA044O16.genome.CDS.1623,group00005
AAA044O16.genome.CDS.1624,group00822
AAA044O16.genome.CDS.1625,group00615
AAA044O16.genome.CDS.1626,group06264
AAA044O16.genome.CDS.1627,group00662
AAA044O16.genome.CDS.1628,group00540
AAA044O16.genome.CDS.1629,group00541
AAA044O16.genome.CDS.1729,group08410
AAA044O16.genome.CDS.1728,group08240
AAA044O16.genome.CDS.1725,group03888
AAA044O16.genome.CDS.1724,group00935
AAA044O16.genome.CDS.1727,group02051
AAA044O16.genome.CDS.1726,group02837
AAA044O16.genome.CDS.1721,group04065
AAA044O16.genome.CDS.1720,group00670
AAA044O16.genome.CDS.1723,group08235
AAA044O16.genome.CDS.1722,group00672
AAA044O16.genome.CDS.1431,group04450
AAA044O16.genome.CDS.1430,group00141
AAA044O16.genome.CDS.1433,group00491
AAA044O16.genome.CDS.1920,group08980
AAA044O16.genome.CDS.1435,group00080
AAA044O16.genome.CDS.1434,group00291
AAA044O16.genome.CDS.1925,group00811
AAA044O16.genome.CDS.1924,group00694
AAA044O16.genome.CDS.1439,group07830
AAA044O16.genome.CDS.1438,group00857
AAA044O16.genome.CDS.1929,group00804
AAA044O16.genome.CDS.1928,group12543
AAA044O16.genome.CDS.622,group01960
AAA044O16.genome.CDS.247,group02030
AAA044O16.genome.CDS.2388,group11713
AAA044O16.genome.CDS.2389,group02261
AAA044O16.genome.CDS.2386,group04318
AAA044O16.genome.CDS.2387,group02791
AAA044O16.genome.CDS.2384,group12997
AAA044O16.genome.CDS.2385,group13154
AAA044O16.genome.CDS.2382,group00207
AAA044O16.genome.CDS.2383,group02791
AAA044O16.genome.CDS.2380,group05119
AAA044O16.genome.CDS.2381,group00656
AAA044O16.genome.CDS.1813,group00991
AAA044O16.genome.CDS.1760,group11178
AAA044O16.genome.CDS.1811,group00968
AAA044O16.genome.CDS.1810,group00962
AAA044O16.genome.CDS.2018,group04070
AAA044O16.genome.CDS.2019,group00025
AAA044O16.genome.CDS.2016,group01596
AAA044O16.genome.CDS.2017,group09940
AAA044O16.genome.CDS.2014,group01892
AAA044O16.genome.CDS.2015,group08257
AAA044O16.genome.CDS.2012,group00103
AAA044O16.genome.CDS.2010,group01036
AAA044O16.genome.CDS.2011,group09627
AAA044O16.genome.CDS.1767,group02073
AAA044O16.genome.CDS.1766,group06138
AAA044O16.genome.CDS.2636,group00889
AAA044O16.genome.CDS.2637,group00308
AAA044O16.genome.CDS.2635,group00025
AAA044O16.genome.CDS.2632,group00277
AAA044O16.genome.CDS.2633,group07954
AAA044O16.genome.CDS.2630,group00999
AAA044O16.genome.CDS.2631,group00355
AAA044O16.genome.CDS.2638,group00536
AAA044O16.genome.CDS.2639,group12229
AAA044O16.genome.CDS.2702,group02785
AAA044O16.genome.CDS.2703,group05343
AAA044O16.genome.CDS.2700,group03112
AAA044O16.genome.CDS.2701,group10778
AAA044O16.genome.CDS.2706,group00356
AAA044O16.genome.CDS.2707,group06029
AAA044O16.genome.CDS.2704,group01027
AAA044O16.genome.CDS.2705,group06467
AAA044O16.genome.CDS.2708,group01178
AAA044O16.genome.CDS.2709,group00620
AAA044O16.genome.CDS.2528,group00348
AAA044O16.genome.CDS.2529,group00250
AAA044O16.genome.CDS.2522,group02679
AAA044O16.genome.CDS.2523,group00027
AAA044O16.genome.CDS.2520,group11253
AAA044O16.genome.CDS.2521,group00450
AAA044O16.genome.CDS.2526,group00437
AAA044O16.genome.CDS.2527,group00245
AAA044O16.genome.CDS.2524,group00240
AAA044O16.genome.CDS.2525,group00225
AAA044O16.genome.CDS.1655,group00325
AAA044O16.genome.CDS.1654,group00495
AAA044O16.genome.CDS.1657,group09720
AAA044O16.genome.CDS.1656,group09720
AAA044O16.genome.CDS.1651,group12591
AAA044O16.genome.CDS.1650,group00014
AAA044O16.genome.CDS.1653,group00007
AAA044O16.genome.CDS.1652,group00319
AAA044O16.genome.CDS.1659,group04410
AAA044O16.genome.CDS.1658,group00289
AAA044O16.genome.CDS.1738,group07857
AAA044O16.genome.CDS.1739,group08416
AAA044O16.genome.CDS.1736,group01305
AAA044O16.genome.CDS.1737,group00014
AAA044O16.genome.CDS.1734,group03322
AAA044O16.genome.CDS.1735,group12642
AAA044O16.genome.CDS.1732,group07866
AAA044O16.genome.CDS.1733,group00950
AAA044O16.genome.CDS.1730,group00813
AAA044O16.genome.CDS.1731,group06282
AAA044O16.genome.CDS.824,group00858
AAA044O16.genome.CDS.103,group00493
AAA044O16.genome.CDS.1934,group01026
AAA044O16.genome.CDS.1935,group00024
AAA044O16.genome.CDS.1420,group00050
AAA044O16.genome.CDS.1421,group00139
AAA044O16.genome.CDS.1426,group00515
AAA044O16.genome.CDS.1427,group00004
AAA044O16.genome.CDS.1932,group08086
AAA044O16.genome.CDS.1425,group00634
AAA044O16.genome.CDS.1428,group00017
AAA044O16.genome.CDS.1429,group00735
AAA044O16.genome.CDS.1938,group11935
AAA044O16.genome.CDS.1939,group01237
AAA044O16.genome.CDS.1936,group00704
AAA044O16.genome.CDS.923,group00209
AAA044O16.genome.CDS.922,group00209
AAA044O16.genome.CDS.1933,group00241
AAA044O16.genome.CDS.1264,group12934
AAA044O16.genome.CDS.2022,group08124
AAA044O16.genome.CDS.2021,group04447
AAA044O16.genome.CDS.2020,group13631
AAA044O16.genome.CDS.2027,group09811
AAA044O16.genome.CDS.2026,group00942
AAA044O16.genome.CDS.2025,group13196
AAA044O16.genome.CDS.2024,group00843
AAA044O16.genome.CDS.2029,group01561
AAA044O16.genome.CDS.2028,group00931
AAA044O16.genome.CDS.2737,group00151
AAA044O16.genome.CDS.2736,group00208
AAA044O16.genome.CDS.2735,group00273
AAA044O16.genome.CDS.2734,group03019
AAA044O16.genome.CDS.2733,group00274
AAA044O16.genome.CDS.2732,group06963
AAA044O16.genome.CDS.2731,group01299
AAA044O16.genome.CDS.2730,group07304
AAA044O16.genome.CDS.1486,group00447
AAA044O16.genome.CDS.2738,group00098
AAA044O16.genome.CDS.2287,group00427
AAA044O16.genome.CDS.2286,group00469
AAA044O16.genome.CDS.2285,group00733
AAA044O16.genome.CDS.2284,group00489
AAA044O16.genome.CDS.2283,group00490
AAA044O16.genome.CDS.2282,group04573
AAA044O16.genome.CDS.2281,group01790
AAA044O16.genome.CDS.2280,group01395
AAA044O16.genome.CDS.2289,group00038
AAA044O16.genome.CDS.2288,group00696
AAA044O16.genome.CDS.2519,group00373
AAA044O16.genome.CDS.2518,group13639
AAA044O16.genome.CDS.2517,group00124
AAA044O16.genome.CDS.2516,group00292
AAA044O16.genome.CDS.2515,group00513
AAA044O16.genome.CDS.2514,group00168
AAA044O16.genome.CDS.2513,group00078
AAA044O16.genome.CDS.2512,group00195
AAA044O16.genome.CDS.2511,group00164
AAA044O16.genome.CDS.2510,group00075
AAA044O16.genome.CDS.2359,group04306
AAA044O16.genome.CDS.2358,group06461
AAA044O16.genome.CDS.2609,group00084
AAA044O16.genome.CDS.2608,group01035
AAA044O16.genome.CDS.2351,group01077
AAA044O16.genome.CDS.2602,group00626
AAA044O16.genome.CDS.2601,group00964
AAA044O16.genome.CDS.2600,group00170
AAA044O16.genome.CDS.2607,group06547
AAA044O16.genome.CDS.2354,group00020
AAA044O16.genome.CDS.2605,group00849
AAA044O16.genome.CDS.2604,group00975
AAA044O16.genome.CDS.1391,group00172
AAA044O16.genome.CDS.1392,group00147
AAA044O16.genome.CDS.1393,group01008
AAA044O16.genome.CDS.1394,group00244
AAA044O16.genome.CDS.1395,group00708
AAA044O16.genome.CDS.1396,group07142
AAA044O16.genome.CDS.1398,group08442
AAA044O16.genome.CDS.1399,group01681
AAA044O16.genome.CDS.1646,group00215
AAA044O16.genome.CDS.1647,group00002
AAA044O16.genome.CDS.1644,group02832
AAA044O16.genome.CDS.1645,group00057
AAA044O16.genome.CDS.1642,group13555
AAA044O16.genome.CDS.1643,group00152
AAA044O16.genome.CDS.1640,group00494
AAA044O16.genome.CDS.1641,group00751
AAA044O16.genome.CDS.1648,group00361
AAA044O16.genome.CDS.1649,group00612
AAA044O16.genome.CDS.1703,group13582
AAA044O16.genome.CDS.1702,group00920
AAA044O16.genome.CDS.1701,group10207
AAA044O16.genome.CDS.1700,group00923
AAA044O16.genome.CDS.1707,group00854
AAA044O16.genome.CDS.1706,group13673
AAA044O16.genome.CDS.1705,group07818
AAA044O16.genome.CDS.1704,group00862
AAA044O16.genome.CDS.1709,group00873
AAA044O16.genome.CDS.1708,group00875
AAA044O16.genome.CDS.133,group00876
AAA044O16.genome.CDS.1417,group04123
AAA044O16.genome.CDS.1416,group01015
AAA044O16.genome.CDS.1415,group00217
AAA044O16.genome.CDS.1414,group00206
AAA044O16.genome.CDS.1413,group00320
AAA044O16.genome.CDS.1412,group01610
AAA044O16.genome.CDS.1411,group00184
AAA044O16.genome.CDS.1410,group00535
AAA044O16.genome.CDS.1419,group00333
AAA044O16.genome.CDS.1418,group00410
AAA044O16.genome.CDS.1899,group00198
AAA044O16.genome.CDS.1898,group00091
AAA044O16.genome.CDS.1893,group03085
AAA044O16.genome.CDS.1892,group07366
AAA044O16.genome.CDS.1891,group00298
AAA044O16.genome.CDS.1890,group00786
AAA044O16.genome.CDS.1897,group00175
AAA044O16.genome.CDS.1896,group04327
AAA044O16.genome.CDS.1895,group00434
AAA044O16.genome.CDS.1894,group05874
AAA044O16.genome.CDS.866,group05345
AAA044O16.genome.CDS.2034,group00036
AAA044O16.genome.CDS.2035,group02239
AAA044O16.genome.CDS.2036,group10938
AAA044O16.genome.CDS.2037,group01367
AAA044O16.genome.CDS.2030,group00814
AAA044O16.genome.CDS.2031,group08749
AAA044O16.genome.CDS.2032,group01047
AAA044O16.genome.CDS.2033,group01724
AAA044O16.genome.CDS.2038,group01164
AAA044O16.genome.CDS.2039,group13185
AAA044O16.genome.CDS.2298,group02866
AAA044O16.genome.CDS.2299,group03471
AAA044O16.genome.CDS.2290,group04957
AAA044O16.genome.CDS.2291,group00605
AAA044O16.genome.CDS.2292,group00663
AAA044O16.genome.CDS.2293,group00573
AAA044O16.genome.CDS.2294,group01304
AAA044O16.genome.CDS.2295,group00013
AAA044O16.genome.CDS.2296,group01331
AAA044O16.genome.CDS.2297,group01389
AAA044O16.genome.CDS.1093,group03117
AAA044O16.genome.CDS.1092,group00140
AAA044O16.genome.CDS.1090,group00203
AAA044O16.genome.CDS.2728,group11743
AAA044O16.genome.CDS.2729,group00768
AAA044O16.genome.CDS.2720,group00258
AAA044O16.genome.CDS.2721,group00381
AAA044O16.genome.CDS.2722,group00136
AAA044O16.genome.CDS.2723,group00657
AAA044O16.genome.CDS.2724,group06649
AAA044O16.genome.CDS.2725,group00106
AAA044O16.genome.CDS.2726,group00105
AAA044O16.genome.CDS.2727,group00853
AAA044O16.genome.CDS.2500,group00987
AAA044O16.genome.CDS.2501,group01665
AAA044O16.genome.CDS.2502,group04578
AAA044O16.genome.CDS.2503,group00181
AAA044O16.genome.CDS.2504,group04454
AAA044O16.genome.CDS.2505,group01019
AAA044O16.genome.CDS.2506,group08165
AAA044O16.genome.CDS.2507,group04409
AAA044O16.genome.CDS.2508,group01083
AAA044O16.genome.CDS.2509,group00182
AAA044O16.genome.CDS.1422,group13856
AAA044O16.genome.CDS.2348,group01677
AAA044O16.genome.CDS.2349,group02328
AAA044O16.genome.CDS.2618,group00571
AAA044O16.genome.CDS.2619,group00456
AAA044O16.genome.CDS.1423,group01812
AAA044O16.genome.CDS.2342,group01329
AAA044O16.genome.CDS.2343,group00472
AAA044O16.genome.CDS.2340,group06282
AAA044O16.genome.CDS.2341,group01766
AAA044O16.genome.CDS.2610,group00086
AAA044O16.genome.CDS.2347,group04914
AAA044O16.genome.CDS.2344,group01484
AAA044O16.genome.CDS.2345,group01387
AAA044O16.genome.CDS.1937,group00961
AAA044O16.genome.CDS.1930,group13626
AAA044O16.genome.CDS.1931,group03619
AAA044O16.genome.CDS.1679,group04577
AAA044O16.genome.CDS.1678,group00595
AAA044O16.genome.CDS.1424,group01010
AAA044O16.genome.CDS.1673,group07649
AAA044O16.genome.CDS.1672,group05083
AAA044O16.genome.CDS.1671,group00580
AAA044O16.genome.CDS.1670,group00523
AAA044O16.genome.CDS.1677,group00594
AAA044O16.genome.CDS.1676,group00522
AAA044O16.genome.CDS.1675,group00610
AAA044O16.genome.CDS.1674,group00618
AAA044O16.genome.CDS.1783,group04042
AAA044O16.genome.CDS.1834,group00791
AAA044O16.genome.CDS.1837,group03912
AAA044O16.genome.CDS.1780,group00390
AAA044O16.genome.CDS.1831,group00926
AAA044O16.genome.CDS.1830,group00686
AAA044O16.genome.CDS.2553,group00436
AAA044O16.genome.CDS.1785,group03406
AAA044O16.genome.CDS.2552,group00431
AAA044O16.genome.CDS.1832,group10356
AAA044O16.genome.CDS.2223,group01521
AAA044O16.genome.CDS.1816,group01016
AAA044O16.genome.CDS.1714,group00916
AAA044O16.genome.CDS.1715,group00847
AAA044O16.genome.CDS.1716,group00821
AAA044O16.genome.CDS.1717,group12709
AAA044O16.genome.CDS.1710,group00820
AAA044O16.genome.CDS.1711,group00896
AAA044O16.genome.CDS.1712,group00897
AAA044O16.genome.CDS.1713,group07447
AAA044O16.genome.CDS.2225,group00539
AAA044O16.genome.CDS.1718,group02783
AAA044O16.genome.CDS.1719,group03888
AAA044O16.genome.CDS.2224,group07518
AAA044O16.genome.CDS.2227,group00042
AAA044O16.genome.CDS.2554,group00089
AAA044O16.genome.CDS.1408,group00307
AAA044O16.genome.CDS.1409,group00534
AAA044O16.genome.CDS.1400,group00901
AAA044O16.genome.CDS.1401,group00321
AAA044O16.genome.CDS.1402,group00243
AAA044O16.genome.CDS.1403,group00030
AAA044O16.genome.CDS.1404,group08653
AAA044O16.genome.CDS.1405,group00470
AAA044O16.genome.CDS.1406,group00532
AAA044O16.genome.CDS.1407,group00533
AAA044O16.genome.CDS.655,group04499
AAA044O16.genome.CDS.1888,group05280
AAA044O16.genome.CDS.1889,group00915
AAA044O16.genome.CDS.1884,group01234
AAA044O16.genome.CDS.1885,group07301
AAA044O16.genome.CDS.1886,group01058
AAA044O16.genome.CDS.1887,group00754
AAA044O16.genome.CDS.1880,group00432
AAA044O16.genome.CDS.1881,group00734
AAA044O16.genome.CDS.1882,group00596
AAA044O16.genome.CDS.1883,group00579
AAA044O16.genome.CDS.1499,group02256
AAA044O16.genome.CDS.1498,group08763
AAA044O16.genome.CDS.1497,group00107
AAA044O16.genome.CDS.1948,group02165
AAA044O16.genome.CDS.1081,group11566
AAA044O16.genome.CDS.2199,group00251
AAA044O16.genome.CDS.2198,group00287
AAA044O16.genome.CDS.2193,group00322
AAA044O16.genome.CDS.2192,group00279
AAA044O16.genome.CDS.2191,group00925
AAA044O16.genome.CDS.2190,group00128
AAA044O16.genome.CDS.2197,group00223
AAA044O16.genome.CDS.2196,group01268
AAA044O16.genome.CDS.2195,group04179
AAA044O16.genome.CDS.2194,group00237
AAA044O16.genome.CDS.2759,group00371
AAA044O16.genome.CDS.2758,group00247
AAA044O16.genome.CDS.2755,group01082
AAA044O16.genome.CDS.2754,group00487
AAA044O16.genome.CDS.2757,group00794
AAA044O16.genome.CDS.2756,group00496
AAA044O16.genome.CDS.2751,group09996
AAA044O16.genome.CDS.2750,group00001
AAA044O16.genome.CDS.2753,group00001
AAA044O16.genome.CDS.2752,group00568
AAA044O16.genome.CDS.2575,group00548
AAA044O16.genome.CDS.2574,group07897
AAA044O16.genome.CDS.2577,group00246
AAA044O16.genome.CDS.2576,group00192
AAA044O16.genome.CDS.2571,group00205
AAA044O16.genome.CDS.2570,group00642
AAA044O16.genome.CDS.2573,group04060
AAA044O16.genome.CDS.2572,group00627
AAA044O16.genome.CDS.2579,group00765
AAA044O16.genome.CDS.2578,group00090
AAA044O16.genome.CDS.2379,group00061
AAA044O16.genome.CDS.2378,group00265
AAA044O16.genome.CDS.2377,group00083
AAA044O16.genome.CDS.2376,group00053
AAA044O16.genome.CDS.2375,group00349
AAA044O16.genome.CDS.2374,group02623
AAA044O16.genome.CDS.2373,group00300
AAA044O16.genome.CDS.2372,group00194
AAA044O16.genome.CDS.2371,group01032
AAA044O16.genome.CDS.2370,group03005
AAA044O16.genome.CDS.1668,group00282
AAA044O16.genome.CDS.1669,group00454
AAA044O16.genome.CDS.1664,group00004
AAA044O16.genome.CDS.1665,group00343
AAA044O16.genome.CDS.1666,group00724
AAA044O16.genome.CDS.1667,group11714
AAA044O16.genome.CDS.1660,group12908
AAA044O16.genome.CDS.1661,group01012
AAA044O16.genome.CDS.1662,group00986
AAA044O16.genome.CDS.1663,group00017
AAA044O16.genome.CDS.2409,group01031
AAA044O16.genome.CDS.2408,group01088
AAA044O16.genome.CDS.2401,group00236
AAA044O16.genome.CDS.2400,group11648
AAA044O16.genome.CDS.2403,group00937
AAA044O16.genome.CDS.2402,group00762
AAA044O16.genome.CDS.2405,group00433
AAA044O16.genome.CDS.2404,group01514
AAA044O16.genome.CDS.2407,group13659
AAA044O16.genome.CDS.2406,group00613
AAA044O16.genome.CDS.1479,group07127
AAA044O16.genome.CDS.1478,group00530
AAA044O16.genome.CDS.1475,group01291
AAA044O16.genome.CDS.1474,group08655
AAA044O16.genome.CDS.1477,group03640
AAA044O16.genome.CDS.1476,group03567
AAA044O16.genome.CDS.1471,group00584
AAA044O16.genome.CDS.1470,group00519
AAA044O16.genome.CDS.1985,group09639
AAA044O16.genome.CDS.1984,group02674
AAA044O16.genome.CDS.1987,group06327
AAA044O16.genome.CDS.1986,group05333
AAA044O16.genome.CDS.1981,group04587
AAA044O16.genome.CDS.1980,group00286
AAA044O16.genome.CDS.1983,group06928
AAA044O16.genome.CDS.1982,group01054
AAA044O16.genome.CDS.1989,group02197
AAA044O16.genome.CDS.1988,group01436
AAA044O16.genome.CDS.1871,group00521
AAA044O16.genome.CDS.1870,group01028
AAA044O16.genome.CDS.1873,group01628
AAA044O16.genome.CDS.1872,group00689
AAA044O16.genome.CDS.1875,group00760
AAA044O16.genome.CDS.1874,group00711
AAA044O16.genome.CDS.1877,group10214
AAA044O16.genome.CDS.1876,group01129
AAA044O16.genome.CDS.1879,group01042
AAA044O16.genome.CDS.1878,group02778
AAA044O16.genome.CDS.1501,group00859
AAA044O16.genome.CDS.1500,group00163
AAA044O16.genome.CDS.1503,group00659
AAA044O16.genome.CDS.1502,group00313
AAA044O16.genome.CDS.1505,group08679
AAA044O16.genome.CDS.1504,group00314
AAA044O16.genome.CDS.1507,group02216
AAA044O16.genome.CDS.1506,group00377
AAA044O16.genome.CDS.1509,group08262
AAA044O16.genome.CDS.1508,group00498
AAA044O16.genome.CDS.1825,group05294
AAA044O16.genome.CDS.1822,group07014
AAA044O16.genome.CDS.2188,group00375
AAA044O16.genome.CDS.2189,group00891
AAA044O16.genome.CDS.2184,group07129
AAA044O16.genome.CDS.2185,group00260
AAA044O16.genome.CDS.2186,group00766
AAA044O16.genome.CDS.2187,group00044
AAA044O16.genome.CDS.2180,group00531
AAA044O16.genome.CDS.2181,group00856
AAA044O16.genome.CDS.2182,group00649
AAA044O16.genome.CDS.2183,group01011
AAA044O16.genome.CDS.2748,group08718
AAA044O16.genome.CDS.2749,group00003
AAA044O16.genome.CDS.2746,group00462
AAA044O16.genome.CDS.2747,group00520
AAA044O16.genome.CDS.2744,group04006
AAA044O16.genome.CDS.2745,group07495
AAA044O16.genome.CDS.2742,group00082
AAA044O16.genome.CDS.2743,group00062
AAA044O16.genome.CDS.2740,group00126
AAA044O16.genome.CDS.2741,group05289
AAA044O16.genome.CDS.7,group00458
AAA044O16.genome.CDS.2566,group00155
AAA044O16.genome.CDS.2567,group01262
AAA044O16.genome.CDS.2564,group00782
AAA044O16.genome.CDS.2565,group00567
AAA044O16.genome.CDS.2562,group00100
AAA044O16.genome.CDS.2563,group00130
AAA044O16.genome.CDS.2560,group00700
AAA044O16.genome.CDS.2561,group01321
AAA044O16.genome.CDS.2568,group00127
AAA044O16.genome.CDS.2569,group00879
AAA044O16.genome.CDS.2360,group05338
AAA044O16.genome.CDS.2361,group10810
AAA044O16.genome.CDS.2362,group07333
AAA044O16.genome.CDS.2363,group07495
AAA044O16.genome.CDS.2364,group02135
AAA044O16.genome.CDS.2365,group07755
AAA044O16.genome.CDS.2366,group03226
AAA044O16.genome.CDS.2367,group00032
AAA044O16.genome.CDS.2368,group00502
AAA044O16.genome.CDS.2369,group00581
AAA044O16.genome.CDS.1691,group00557
AAA044O16.genome.CDS.1690,group00825
AAA044O16.genome.CDS.1693,group01282
AAA044O16.genome.CDS.1692,group01606
AAA044O16.genome.CDS.1695,group00946
AAA044O16.genome.CDS.1694,group07419
AAA044O16.genome.CDS.1697,group06041
AAA044O16.genome.CDS.1696,group00945
AAA044O16.genome.CDS.1699,group00992
AAA044O16.genome.CDS.1698,group00738
AAA044O16.genome.CDS.2418,group11426
AAA044O16.genome.CDS.2419,group00771
AAA044O16.genome.CDS.2412,group00037
AAA044O16.genome.CDS.2413,group00793
AAA044O16.genome.CDS.2410,group00337
AAA044O16.genome.CDS.2411,group02350
AAA044O16.genome.CDS.2416,group00801
AAA044O16.genome.CDS.2417,group02357
AAA044O16.genome.CDS.2414,group00643
AAA044O16.genome.CDS.2415,group00669
AAA044O16.genome.CDS.1469,group00720
AAA044O16.genome.CDS.1466,group05403
AAA044O16.genome.CDS.1467,group00564
AAA044O16.genome.CDS.1464,group00326
AAA044O16.genome.CDS.1465,group00445
AAA044O16.genome.CDS.1462,group00492
AAA044O16.genome.CDS.1463,group12705
AAA044O16.genome.CDS.1460,group00606
AAA044O16.genome.CDS.1461,group00461
AAA044O16.genome.CDS.2471,group00609
AAA044O16.genome.CDS.1996,group00261
AAA044O16.genome.CDS.1997,group00858
AAA044O16.genome.CDS.1994,group02336
AAA044O16.genome.CDS.1995,group07220
AAA044O16.genome.CDS.1992,group11197
AAA044O16.genome.CDS.1990,group03499
AAA044O16.genome.CDS.1991,group10813
AAA044O16.genome.CDS.1998,group10917
AAA044O16.genome.CDS.1999,group02888
AAA044O16.genome.CDS.1862,group07217
AAA044O16.genome.CDS.1863,group00710
AAA044O16.genome.CDS.1860,group00658
AAA044O16.genome.CDS.1861,group03876
AAA044O16.genome.CDS.1866,group00559
AAA044O16.genome.CDS.1867,group00393
AAA044O16.genome.CDS.1864,group00551
AAA044O16.genome.CDS.1865,group09103
AAA044O16.genome.CDS.1868,group00374
AAA044O16.genome.CDS.1869,group01355
AAA044O16.genome.CDS.1512,group00331
AAA044O16.genome.CDS.1513,group00441
AAA044O16.genome.CDS.1510,group00360
AAA044O16.genome.CDS.1511,group00332
AAA044O16.genome.CDS.1516,group00832
AAA044O16.genome.CDS.1517,group00697
AAA044O16.genome.CDS.1514,group00881
AAA044O16.genome.CDS.1515,group00812
AAA044O16.genome.CDS.1518,group00722
AAA044O16.genome.CDS.1519,group03059
AAA044O16.genome.CDS.216,group01263
AAA044O16.genome.CDS.215,group10963
AAA044O16.genome.CDS.2085,group00687
AAA044O16.genome.CDS.2084,group02588
AAA044O16.genome.CDS.2087,group10965
AAA044O16.genome.CDS.2086,group01092
AAA044O16.genome.CDS.2081,group09968
AAA044O16.genome.CDS.2080,group10921
AAA044O16.genome.CDS.2083,group02263
AAA044O16.genome.CDS.2082,group01198
AAA044O16.genome.CDS.2089,group01124
AAA044O16.genome.CDS.2088,group02330
AAA044O16.genome.CDS.2171,group00676
AAA044O16.genome.CDS.2170,group00913
AAA044O16.genome.CDS.2173,group00830
AAA044O16.genome.CDS.2172,group08765
AAA044O16.genome.CDS.2175,group01023
AAA044O16.genome.CDS.2174,group07589
AAA044O16.genome.CDS.2177,group00238
AAA044O16.genome.CDS.2176,group00914
AAA044O16.genome.CDS.2179,group00179
AAA044O16.genome.CDS.2178,group00180
AAA044O16.genome.CDS.2773,group01516
AAA044O16.genome.CDS.2772,group12774
AAA044O16.genome.CDS.2771,group00667
AAA044O16.genome.CDS.2770,group00000
AAA044O16.genome.CDS.2777,group00278
AAA044O16.genome.CDS.2776,group00633
AAA044O16.genome.CDS.2775,group11641
AAA044O16.genome.CDS.2774,group12967
AAA044O16.genome.CDS.2779,group00784
AAA044O16.genome.CDS.2778,group00211
AAA044O16.genome.CDS.2791,group01238
AAA044O16.genome.CDS.2790,group00563
AAA044O16.genome.CDS.1191,group00757
AAA044O16.genome.CDS.2314,group00039
AAA044O16.genome.CDS.2317,group00511
AAA044O16.genome.CDS.2311,group00285
