AAA027M14.genome.CDS.1136,group00380
AAA027M14.genome.CDS.1276,group00410
AAA027M14.genome.CDS.1277,group00718
AAA027M14.genome.CDS.1278,group01015
AAA027M14.genome.CDS.1279,group00217
AAA027M14.genome.CDS.1373,group00494
AAA027M14.genome.CDS.1372,group00667
AAA027M14.genome.CDS.1375,group00298
AAA027M14.genome.CDS.1374,group00462
AAA027M14.genome.CDS.1377,group00171
AAA027M14.genome.CDS.1376,group00008
AAA027M14.genome.CDS.1340,group05885
AAA027M14.genome.CDS.857,group00560
AAA027M14.genome.CDS.1308,group00062
AAA027M14.genome.CDS.1309,group03999
AAA027M14.genome.CDS.1658,group00664
AAA027M14.genome.CDS.1341,group04118
AAA027M14.genome.CDS.1656,group01645
AAA027M14.genome.CDS.1305,group00122
AAA027M14.genome.CDS.1306,group00098
AAA027M14.genome.CDS.1655,group05863
AAA027M14.genome.CDS.1300,group00244
AAA027M14.genome.CDS.1653,group05864
AAA027M14.genome.CDS.1302,group00145
AAA027M14.genome.CDS.1651,group05866
AAA027M14.genome.CDS.1304,group00115
AAA027M14.genome.CDS.1611,group00400
AAA027M14.genome.CDS.1657,group00569
AAA027M14.genome.CDS.1616,group00641
AAA027M14.genome.CDS.1617,group00153
AAA027M14.genome.CDS.1307,group00097
AAA027M14.genome.CDS.1614,group00438
AAA027M14.genome.CDS.1223,group00176
AAA027M14.genome.CDS.1652,group05865
AAA027M14.genome.CDS.1615,group01039
AAA027M14.genome.CDS.1301,group01005
AAA027M14.genome.CDS.1650,group00871
AAA027M14.genome.CDS.1303,group00172
AAA027M14.genome.CDS.1664,group00940
AAA027M14.genome.CDS.1579,group05496
AAA027M14.genome.CDS.1578,group01168
AAA027M14.genome.CDS.1573,group04114
AAA027M14.genome.CDS.1572,group01169
AAA027M14.genome.CDS.1571,group00434
AAA027M14.genome.CDS.1570,group00788
AAA027M14.genome.CDS.1577,group04130
AAA027M14.genome.CDS.1576,group02218
AAA027M14.genome.CDS.1575,group01644
AAA027M14.genome.CDS.1574,group03576
AAA027M14.genome.CDS.1098,group00503
AAA027M14.genome.CDS.1214,group05879
AAA027M14.genome.CDS.1210,group00817
AAA027M14.genome.CDS.1099,group00094
AAA027M14.genome.CDS.890,group01208
AAA027M14.genome.CDS.1001,group00872
AAA027M14.genome.CDS.1489,group00240
AAA027M14.genome.CDS.868,group00960
AAA027M14.genome.CDS.1488,group00225
AAA027M14.genome.CDS.891,group01016
AAA027M14.genome.CDS.1148,group00055
AAA027M14.genome.CDS.1186,group00347
AAA027M14.genome.CDS.973,group05870
AAA027M14.genome.CDS.1184,group00374
AAA027M14.genome.CDS.1185,group00658
AAA027M14.genome.CDS.1182,group04106
AAA027M14.genome.CDS.1183,group00393
AAA027M14.genome.CDS.1180,group00617
AAA027M14.genome.CDS.972,group05856
AAA027M14.genome.CDS.988,group05869
AAA027M14.genome.CDS.1188,group00345
AAA027M14.genome.CDS.1189,group02764
AAA027M14.genome.CDS.836,group01246
AAA027M14.genome.CDS.837,group02837
AAA027M14.genome.CDS.834,group05857
AAA027M14.genome.CDS.1480,group00354
AAA027M14.genome.CDS.832,group02220
AAA027M14.genome.CDS.833,group00183
AAA027M14.genome.CDS.830,group02219
AAA027M14.genome.CDS.831,group02058
AAA027M14.genome.CDS.977,group00325
AAA027M14.genome.CDS.838,group02407
AAA027M14.genome.CDS.839,group00867
AAA027M14.genome.CDS.1054,group00673
AAA027M14.genome.CDS.1055,group00267
AAA027M14.genome.CDS.1056,group00350
AAA027M14.genome.CDS.1057,group00609
AAA027M14.genome.CDS.1119,group02123
AAA027M14.genome.CDS.1118,group04112
AAA027M14.genome.CDS.1052,group00154
AAA027M14.genome.CDS.1053,group00903
AAA027M14.genome.CDS.1115,group00076
AAA027M14.genome.CDS.1114,group00935
AAA027M14.genome.CDS.1117,group00102
AAA027M14.genome.CDS.1116,group00954
AAA027M14.genome.CDS.1058,group00229
AAA027M14.genome.CDS.1059,group00807
AAA027M14.genome.CDS.1113,group00989
AAA027M14.genome.CDS.1112,group01111
AAA027M14.genome.CDS.1006,group00010
AAA027M14.genome.CDS.1211,group00787
AAA027M14.genome.CDS.1627,group00002
AAA027M14.genome.CDS.1334,group00454
AAA027M14.genome.CDS.1625,group00696
AAA027M14.genome.CDS.1624,group00356
AAA027M14.genome.CDS.1623,group00795
AAA027M14.genome.CDS.1622,group00203
AAA027M14.genome.CDS.1333,group00841
AAA027M14.genome.CDS.1620,group00140
AAA027M14.genome.CDS.835,group01243
AAA027M14.genome.CDS.1339,group01587
AAA027M14.genome.CDS.1338,group01148
AAA027M14.genome.CDS.1629,group00004
AAA027M14.genome.CDS.1628,group00071
AAA027M14.genome.CDS.1021,group00842
AAA027M14.genome.CDS.1472,group00012
AAA027M14.genome.CDS.1023,group00045
AAA027M14.genome.CDS.1022,group00637
AAA027M14.genome.CDS.1025,group01052
AAA027M14.genome.CDS.1024,group00826
AAA027M14.genome.CDS.1027,group01126
AAA027M14.genome.CDS.1026,group00575
AAA027M14.genome.CDS.902,group01331
AAA027M14.genome.CDS.903,group01375
AAA027M14.genome.CDS.1452,group00640
AAA027M14.genome.CDS.901,group01251
AAA027M14.genome.CDS.906,group00748
AAA027M14.genome.CDS.1455,group00222
AAA027M14.genome.CDS.904,group01330
AAA027M14.genome.CDS.905,group00955
AAA027M14.genome.CDS.706,group00383
AAA027M14.genome.CDS.1471,group00453
AAA027M14.genome.CDS.920,group00625
AAA027M14.genome.CDS.1477,group04699
AAA027M14.genome.CDS.1133,group01106
AAA027M14.genome.CDS.1474,group00275
AAA027M14.genome.CDS.1260,group00397
AAA027M14.genome.CDS.923,group00509
AAA027M14.genome.CDS.1520,group00498
AAA027M14.genome.CDS.1521,group04582
AAA027M14.genome.CDS.1522,group05897
AAA027M14.genome.CDS.1523,group04582
AAA027M14.genome.CDS.1524,group01523
AAA027M14.genome.CDS.1525,group01057
AAA027M14.genome.CDS.1526,group01453
AAA027M14.genome.CDS.1527,group02895
AAA027M14.genome.CDS.1241,group00044
AAA027M14.genome.CDS.1240,group00375
AAA027M14.genome.CDS.1243,group00260
AAA027M14.genome.CDS.1242,group00766
AAA027M14.genome.CDS.1245,group01011
AAA027M14.genome.CDS.1244,group00429
AAA027M14.genome.CDS.1247,group01142
AAA027M14.genome.CDS.1246,group05877
AAA027M14.genome.CDS.1132,group01694
AAA027M14.genome.CDS.1479,group05013
AAA027M14.genome.CDS.1238,group00128
AAA027M14.genome.CDS.1239,group00891
AAA027M14.genome.CDS.1234,group00322
AAA027M14.genome.CDS.1235,group00279
AAA027M14.genome.CDS.1236,group05878
AAA027M14.genome.CDS.1237,group00925
AAA027M14.genome.CDS.1230,group00220
AAA027M14.genome.CDS.1231,group01265
AAA027M14.genome.CDS.1232,group00459
AAA027M14.genome.CDS.1233,group00237
AAA027M14.genome.CDS.1221,group00730
AAA027M14.genome.CDS.885,group00969
AAA027M14.genome.CDS.1008,group00540
