AAA041L13.genome.CDS.4,group01125
AAA041L13.genome.CDS.1856,group00277
AAA041L13.genome.CDS.1857,group00355
AAA041L13.genome.CDS.2749,group05302
AAA041L13.genome.CDS.2748,group13120
AAA041L13.genome.CDS.2747,group13119
AAA041L13.genome.CDS.2746,group00169
AAA041L13.genome.CDS.2745,group00638
AAA041L13.genome.CDS.1859,group00703
AAA041L13.genome.CDS.2743,group00808
AAA041L13.genome.CDS.2742,group01001
AAA041L13.genome.CDS.2741,group01462
AAA041L13.genome.CDS.2740,group00011
AAA041L13.genome.CDS.1653,group00215
AAA041L13.genome.CDS.1946,group00322
AAA041L13.genome.CDS.2047,group00385
AAA041L13.genome.CDS.2860,group00871
AAA041L13.genome.CDS.2256,group00500
AAA041L13.genome.CDS.1698,group00647
AAA041L13.genome.CDS.1699,group00424
AAA041L13.genome.CDS.1694,group00559
AAA041L13.genome.CDS.1695,group01209
AAA041L13.genome.CDS.1696,group01312
AAA041L13.genome.CDS.1697,group00032
AAA041L13.genome.CDS.1690,group00942
AAA041L13.genome.CDS.1691,group00926
AAA041L13.genome.CDS.1692,group00988
AAA041L13.genome.CDS.1693,group01151
AAA041L13.genome.CDS.1458,group00186
AAA041L13.genome.CDS.1459,group00013
AAA041L13.genome.CDS.1456,group01947
AAA041L13.genome.CDS.1457,group01341
AAA041L13.genome.CDS.1454,group00598
AAA041L13.genome.CDS.1452,group01602
AAA041L13.genome.CDS.1453,group00079
AAA041L13.genome.CDS.1450,group01972
AAA041L13.genome.CDS.1451,group01304
AAA041L13.genome.CDS.2004,group01859
AAA041L13.genome.CDS.2005,group01459
AAA041L13.genome.CDS.2006,group00005
AAA041L13.genome.CDS.2007,group01732
AAA041L13.genome.CDS.2000,group02381
AAA041L13.genome.CDS.2001,group01853
AAA041L13.genome.CDS.2002,group01349
AAA041L13.genome.CDS.2003,group02101
AAA041L13.genome.CDS.2008,group00898
AAA041L13.genome.CDS.2009,group01764
AAA041L13.genome.CDS.1580,group00080
AAA041L13.genome.CDS.1581,group00364
AAA041L13.genome.CDS.1582,group02024
AAA041L13.genome.CDS.1583,group00488
AAA041L13.genome.CDS.1584,group00857
AAA041L13.genome.CDS.1585,group00824
AAA041L13.genome.CDS.1586,group00413
AAA041L13.genome.CDS.1587,group00414
AAA041L13.genome.CDS.1588,group00235
AAA041L13.genome.CDS.1589,group00200
AAA041L13.genome.CDS.2178,group12924
AAA041L13.genome.CDS.2917,group13188
AAA041L13.genome.CDS.2914,group01149
AAA041L13.genome.CDS.2915,group00767
AAA041L13.genome.CDS.2913,group00560
AAA041L13.genome.CDS.2910,group13183
AAA041L13.genome.CDS.2911,group04464
AAA041L13.genome.CDS.2170,group12932
AAA041L13.genome.CDS.2171,group12931
AAA041L13.genome.CDS.2172,group12930
AAA041L13.genome.CDS.2173,group12929
AAA041L13.genome.CDS.2174,group12928
AAA041L13.genome.CDS.2175,group12927
AAA041L13.genome.CDS.2918,group00641
AAA041L13.genome.CDS.2177,group12925
AAA041L13.genome.CDS.1913,group00136
AAA041L13.genome.CDS.1912,group00657
AAA041L13.genome.CDS.1911,group00299
AAA041L13.genome.CDS.1910,group00106
AAA041L13.genome.CDS.1917,group00394
AAA041L13.genome.CDS.1916,group00362
AAA041L13.genome.CDS.1915,group00257
AAA041L13.genome.CDS.1914,group00381
AAA041L13.genome.CDS.1919,group00202
AAA041L13.genome.CDS.1918,group00425
AAA041L13.genome.CDS.2358,group00219
AAA041L13.genome.CDS.2359,group00160
AAA041L13.genome.CDS.2354,group00437
AAA041L13.genome.CDS.2355,group00245
AAA041L13.genome.CDS.2356,group00286
AAA041L13.genome.CDS.2357,group00250
AAA041L13.genome.CDS.2350,group00003
AAA041L13.genome.CDS.2351,group00549
AAA041L13.genome.CDS.2352,group00520
AAA041L13.genome.CDS.2353,group00225
AAA041L13.genome.CDS.2592,group00705
AAA041L13.genome.CDS.2590,group00704
AAA041L13.genome.CDS.2591,group00811
AAA041L13.genome.CDS.2596,group00983
AAA041L13.genome.CDS.2597,group13057
AAA041L13.genome.CDS.2594,group00978
AAA041L13.genome.CDS.2595,group01665
AAA041L13.genome.CDS.2598,group00009
AAA041L13.genome.CDS.2599,group00199
AAA041L13.genome.CDS.2750,group02223
AAA041L13.genome.CDS.1866,group00047
AAA041L13.genome.CDS.1865,group00068
AAA041L13.genome.CDS.2753,group00861
AAA041L13.genome.CDS.1863,group00064
AAA041L13.genome.CDS.1862,group00963
AAA041L13.genome.CDS.2756,group03618
AAA041L13.genome.CDS.1860,group00677
AAA041L13.genome.CDS.2758,group00398
AAA041L13.genome.CDS.2759,group00248
AAA041L13.genome.CDS.1869,group00456
AAA041L13.genome.CDS.1868,group00476
AAA041L13.genome.CDS.871,group12979
AAA041L13.genome.CDS.1042,group04279
AAA041L13.genome.CDS.2365,group00012
AAA041L13.genome.CDS.1999,group00940
AAA041L13.genome.CDS.2030,group00349
AAA041L13.genome.CDS.1998,group01633
AAA041L13.genome.CDS.1661,group00671
AAA041L13.genome.CDS.1660,group01534
AAA041L13.genome.CDS.1663,group13006
AAA041L13.genome.CDS.1662,group03500
AAA041L13.genome.CDS.1665,group00464
AAA041L13.genome.CDS.1664,group00597
AAA041L13.genome.CDS.1667,group00432
AAA041L13.genome.CDS.1666,group00283
AAA041L13.genome.CDS.1669,group00693
AAA041L13.genome.CDS.1668,group01198
AAA041L13.genome.CDS.1855,group00370
AAA041L13.genome.CDS.1463,group00338
AAA041L13.genome.CDS.1462,group00065
AAA041L13.genome.CDS.1461,group00146
AAA041L13.genome.CDS.1460,group00126
AAA041L13.genome.CDS.1467,group00111
AAA041L13.genome.CDS.1466,group00147
AAA041L13.genome.CDS.1464,group00258
AAA041L13.genome.CDS.1469,group00190
AAA041L13.genome.CDS.1468,group00067
AAA041L13.genome.CDS.1858,group00999
AAA041L13.genome.CDS.2744,group00340
AAA041L13.genome.CDS.1269,group13121
AAA041L13.genome.CDS.1267,group00841
AAA041L13.genome.CDS.2468,group00345
AAA041L13.genome.CDS.1994,group00271
AAA041L13.genome.CDS.1005,group03502
AAA041L13.genome.CDS.2441,group01016
AAA041L13.genome.CDS.1719,group00195
AAA041L13.genome.CDS.1718,group00164
AAA041L13.genome.CDS.1711,group03035
AAA041L13.genome.CDS.1710,group00230
AAA041L13.genome.CDS.1713,group00401
AAA041L13.genome.CDS.1712,group00368
AAA041L13.genome.CDS.1715,group00116
AAA041L13.genome.CDS.1714,group00645
AAA041L13.genome.CDS.1717,group00163
AAA041L13.genome.CDS.1716,group02086
AAA041L13.genome.CDS.2109,group01107
AAA041L13.genome.CDS.2108,group00216
AAA041L13.genome.CDS.2105,group00573
AAA041L13.genome.CDS.2104,group00660
AAA041L13.genome.CDS.2107,group00864
AAA041L13.genome.CDS.2106,group01007
AAA041L13.genome.CDS.2101,group00038
AAA041L13.genome.CDS.2100,group00696
AAA041L13.genome.CDS.2103,group00605
AAA041L13.genome.CDS.2102,group00529
AAA041L13.genome.CDS.2719,group13108
AAA041L13.genome.CDS.1489,group00899
AAA041L13.genome.CDS.1488,group00108
AAA041L13.genome.CDS.1481,group00411
AAA041L13.genome.CDS.1480,group00165
AAA041L13.genome.CDS.1483,group00399
AAA041L13.genome.CDS.1482,group00369
AAA041L13.genome.CDS.1485,group01263
AAA041L13.genome.CDS.1484,group01199
AAA041L13.genome.CDS.1487,group00938
AAA041L13.genome.CDS.1486,group00167
AAA041L13.genome.CDS.2611,group13071
AAA041L13.genome.CDS.1905,group00157
AAA041L13.genome.CDS.1906,group00158
AAA041L13.genome.CDS.2612,group13070
AAA041L13.genome.CDS.2615,group13068
AAA041L13.genome.CDS.1901,group00309
AAA041L13.genome.CDS.1902,group00274
AAA041L13.genome.CDS.1903,group04033
AAA041L13.genome.CDS.2619,group13064
AAA041L13.genome.CDS.2618,group13065
AAA041L13.genome.CDS.1908,group00853
AAA041L13.genome.CDS.1909,group00104
AAA041L13.genome.CDS.2929,group13194
AAA041L13.genome.CDS.2928,group13195
AAA041L13.genome.CDS.2299,group00224
AAA041L13.genome.CDS.2298,group05082
AAA041L13.genome.CDS.2923,group13191
AAA041L13.genome.CDS.2922,group13192
AAA041L13.genome.CDS.2921,group13193
AAA041L13.genome.CDS.2296,group00984
AAA041L13.genome.CDS.2291,group00232
AAA041L13.genome.CDS.2926,group13189
AAA041L13.genome.CDS.2293,group02590
AAA041L13.genome.CDS.2924,group13190
AAA041L13.genome.CDS.1878,group05235
AAA041L13.genome.CDS.1879,group00526
AAA041L13.genome.CDS.1870,group00571
AAA041L13.genome.CDS.1871,group00143
AAA041L13.genome.CDS.1872,group00485
AAA041L13.genome.CDS.1873,group00630
AAA041L13.genome.CDS.1874,group00591
AAA041L13.genome.CDS.1875,group00193
AAA041L13.genome.CDS.1876,group00188
AAA041L13.genome.CDS.1877,group00086
AAA041L13.genome.CDS.2725,group13103
AAA041L13.genome.CDS.2724,group13104
AAA041L13.genome.CDS.2727,group03194
AAA041L13.genome.CDS.2726,group13102
AAA041L13.genome.CDS.2721,group00559
AAA041L13.genome.CDS.2720,group13107
AAA041L13.genome.CDS.2723,group13105
AAA041L13.genome.CDS.2722,group13106
AAA041L13.genome.CDS.2729,group13118
AAA041L13.genome.CDS.2728,group04452
AAA041L13.genome.CDS.2969,group01328
AAA041L13.genome.CDS.2968,group04460
AAA041L13.genome.CDS.2789,group13127
AAA041L13.genome.CDS.2438,group01252
AAA041L13.genome.CDS.2431,group00602
AAA041L13.genome.CDS.2430,group00623
AAA041L13.genome.CDS.2433,group00069
AAA041L13.genome.CDS.2432,group00783
AAA041L13.genome.CDS.2435,group01862
AAA041L13.genome.CDS.2434,group01629
AAA041L13.genome.CDS.2437,group00009
AAA041L13.genome.CDS.2436,group01359
AAA041L13.genome.CDS.1796,group00868
AAA041L13.genome.CDS.1477,group00852
AAA041L13.genome.CDS.1672,group00223
AAA041L13.genome.CDS.1673,group01174
AAA041L13.genome.CDS.1670,group00554
AAA041L13.genome.CDS.1671,group00241
AAA041L13.genome.CDS.1676,group00583
AAA041L13.genome.CDS.1677,group00684
AAA041L13.genome.CDS.1674,group01705
AAA041L13.genome.CDS.1675,group00319
AAA041L13.genome.CDS.1678,group00870
AAA041L13.genome.CDS.1679,group00117
AAA041L13.genome.CDS.2367,group00471
AAA041L13.genome.CDS.1474,group00452
AAA041L13.genome.CDS.1475,group00028
AAA041L13.genome.CDS.1476,group00262
AAA041L13.genome.CDS.1820,group00876
AAA041L13.genome.CDS.1470,group00075
AAA041L13.genome.CDS.1471,group00182
AAA041L13.genome.CDS.1472,group00211
AAA041L13.genome.CDS.1473,group00916
AAA041L13.genome.CDS.1827,group13130
AAA041L13.genome.CDS.1478,group00070
AAA041L13.genome.CDS.1479,group00054
AAA041L13.genome.CDS.2492,group04157
AAA041L13.genome.CDS.2491,group02820
AAA041L13.genome.CDS.2490,group02905
AAA041L13.genome.CDS.2242,group00178
AAA041L13.genome.CDS.2716,group00806
AAA041L13.genome.CDS.1828,group00726
AAA041L13.genome.CDS.1944,group00459
AAA041L13.genome.CDS.2368,group00329
AAA041L13.genome.CDS.2712,group00827
AAA041L13.genome.CDS.1947,group00279
AAA041L13.genome.CDS.1708,group00105
AAA041L13.genome.CDS.1709,group00365
AAA041L13.genome.CDS.1702,group01516
AAA041L13.genome.CDS.1703,group01460
AAA041L13.genome.CDS.1700,group00679
AAA041L13.genome.CDS.1701,group00680
AAA041L13.genome.CDS.1706,group00663
AAA041L13.genome.CDS.1707,group00682
AAA041L13.genome.CDS.1704,group01402
AAA041L13.genome.CDS.1705,group01152
AAA041L13.genome.CDS.2118,group00298
AAA041L13.genome.CDS.2119,group00008
AAA041L13.genome.CDS.2116,group00494
AAA041L13.genome.CDS.2117,group00462
AAA041L13.genome.CDS.2114,group00875
AAA041L13.genome.CDS.2115,group00667
AAA041L13.genome.CDS.2112,group00517
AAA041L13.genome.CDS.2113,group00622
AAA041L13.genome.CDS.2110,group12913
AAA041L13.genome.CDS.2111,group00463
AAA041L13.genome.CDS.1498,group00503
AAA041L13.genome.CDS.1499,group00759
AAA041L13.genome.CDS.1492,group00253
AAA041L13.genome.CDS.1493,group01269
AAA041L13.genome.CDS.1490,group00149
AAA041L13.genome.CDS.1491,group00833
AAA041L13.genome.CDS.1496,group01069
AAA041L13.genome.CDS.1497,group00142
AAA041L13.genome.CDS.1494,group01017
AAA041L13.genome.CDS.1495,group00539
AAA041L13.genome.CDS.2602,group01320
AAA041L13.genome.CDS.2603,group00953
AAA041L13.genome.CDS.2600,group00706
AAA041L13.genome.CDS.2601,group00023
AAA041L13.genome.CDS.2606,group00042
AAA041L13.genome.CDS.2607,group00747
AAA041L13.genome.CDS.2604,group00745
AAA041L13.genome.CDS.2605,group00746
AAA041L13.genome.CDS.2608,group00017
AAA041L13.genome.CDS.2609,group00702
AAA041L13.genome.CDS.2938,group01481
AAA041L13.genome.CDS.2939,group01412
AAA041L13.genome.CDS.2288,group00341
AAA041L13.genome.CDS.2286,group00624
AAA041L13.genome.CDS.2287,group00625
AAA041L13.genome.CDS.2284,group00542
AAA041L13.genome.CDS.2285,group00231
AAA041L13.genome.CDS.2282,group00636
AAA041L13.genome.CDS.2283,group00056
AAA041L13.genome.CDS.2932,group13200
AAA041L13.genome.CDS.2933,group05308
AAA041L13.genome.CDS.1809,group00331
AAA041L13.genome.CDS.1805,group00498
AAA041L13.genome.CDS.1804,group01086
AAA041L13.genome.CDS.1807,group00360
AAA041L13.genome.CDS.1806,group00130
AAA041L13.genome.CDS.1801,group00314
AAA041L13.genome.CDS.1800,group00659
AAA041L13.genome.CDS.1803,group00377
AAA041L13.genome.CDS.1802,group00293
AAA041L13.genome.CDS.759,group12964
AAA041L13.genome.CDS.2703,group13096
AAA041L13.genome.CDS.2736,group13112
AAA041L13.genome.CDS.2737,group13111
AAA041L13.genome.CDS.2734,group13114
AAA041L13.genome.CDS.2735,group13113
AAA041L13.genome.CDS.2733,group13115
AAA041L13.genome.CDS.2730,group13117
AAA041L13.genome.CDS.2731,group13116
AAA041L13.genome.CDS.2738,group13110
AAA041L13.genome.CDS.2739,group13109
AAA041L13.genome.CDS.2702,group04456
AAA041L13.genome.CDS.984,group00579
AAA041L13.genome.CDS.2428,group04471
AAA041L13.genome.CDS.2429,group13005
AAA041L13.genome.CDS.2422,group00238
AAA041L13.genome.CDS.2423,group00180
AAA041L13.genome.CDS.2420,group01022
AAA041L13.genome.CDS.2421,group00914
AAA041L13.genome.CDS.2426,group00856
AAA041L13.genome.CDS.2427,group00649
AAA041L13.genome.CDS.2424,group00179
AAA041L13.genome.CDS.2425,group00531
AAA041L13.genome.CDS.2707,group13092
AAA041L13.genome.CDS.2706,group13093
AAA041L13.genome.CDS.2705,group13094
AAA041L13.genome.CDS.2704,group13095
AAA041L13.genome.CDS.1647,group00497
AAA041L13.genome.CDS.1646,group00226
AAA041L13.genome.CDS.1645,group01093
AAA041L13.genome.CDS.1644,group00750
AAA041L13.genome.CDS.1643,group00455
AAA041L13.genome.CDS.1642,group00654
AAA041L13.genome.CDS.1641,group00578
AAA041L13.genome.CDS.1640,group00114
AAA041L13.genome.CDS.1649,group00906
AAA041L13.genome.CDS.1648,group00751
AAA041L13.genome.CDS.1739,group00090
AAA041L13.genome.CDS.1738,group00765
AAA041L13.genome.CDS.1737,group00317
AAA041L13.genome.CDS.1736,group00109
AAA041L13.genome.CDS.1735,group00902
AAA041L13.genome.CDS.1734,group00772
AAA041L13.genome.CDS.1733,group00601
AAA041L13.genome.CDS.1732,group00336
AAA041L13.genome.CDS.1731,group00040
AAA041L13.genome.CDS.2123,group00103
AAA041L13.genome.CDS.2122,group00209
AAA041L13.genome.CDS.2121,group00511
AAA041L13.genome.CDS.2120,group00171
AAA041L13.genome.CDS.2127,group00802
AAA041L13.genome.CDS.2126,group00947
AAA041L13.genome.CDS.2125,group00039
AAA041L13.genome.CDS.2124,group00087
AAA041L13.genome.CDS.2129,group00894
AAA041L13.genome.CDS.2128,group00074
AAA041L13.genome.CDS.2637,group03561
AAA041L13.genome.CDS.2636,group02212
AAA041L13.genome.CDS.2635,group01301
AAA041L13.genome.CDS.2634,group01626
AAA041L13.genome.CDS.2633,group05300
AAA041L13.genome.CDS.2632,group13073
AAA041L13.genome.CDS.2631,group04555
AAA041L13.genome.CDS.2630,group04554
AAA041L13.genome.CDS.2638,group00096
AAA041L13.genome.CDS.2387,group00586
AAA041L13.genome.CDS.2386,group00970
AAA041L13.genome.CDS.2385,group00451
AAA041L13.genome.CDS.2384,group01818
AAA041L13.genome.CDS.2383,group01484
AAA041L13.genome.CDS.2382,group01399
AAA041L13.genome.CDS.2381,group01483
AAA041L13.genome.CDS.2380,group00555
AAA041L13.genome.CDS.2389,group00421
AAA041L13.genome.CDS.2388,group01098
AAA041L13.genome.CDS.2259,group04039
AAA041L13.genome.CDS.2258,group00743
AAA041L13.genome.CDS.2709,group13101
AAA041L13.genome.CDS.2708,group13091
AAA041L13.genome.CDS.1854,group01030
AAA041L13.genome.CDS.1818,group00222
AAA041L13.genome.CDS.1819,group00877
AAA041L13.genome.CDS.2251,group00725
AAA041L13.genome.CDS.2250,group00512
AAA041L13.genome.CDS.2701,group13097
AAA041L13.genome.CDS.2252,group00383
AAA041L13.genome.CDS.2255,group00505
AAA041L13.genome.CDS.1813,group00832
AAA041L13.genome.CDS.2257,group00834
AAA041L13.genome.CDS.1811,group00881
AAA041L13.genome.CDS.87,group00974
AAA041L13.genome.CDS.88,group01815
AAA041L13.genome.CDS.2419,group01090
AAA041L13.genome.CDS.2418,group00836
AAA041L13.genome.CDS.2417,group01009
AAA041L13.genome.CDS.2416,group00676
AAA041L13.genome.CDS.2415,group00913
AAA041L13.genome.CDS.2414,group00756
AAA041L13.genome.CDS.2413,group01242
AAA041L13.genome.CDS.2412,group00773
AAA041L13.genome.CDS.2411,group00263
AAA041L13.genome.CDS.2410,group01051
AAA041L13.genome.CDS.2232,group00952
AAA041L13.genome.CDS.2231,group01077
AAA041L13.genome.CDS.2230,group01014
AAA041L13.genome.CDS.2945,group13208
AAA041L13.genome.CDS.2236,group01019
AAA041L13.genome.CDS.2235,group00022
AAA041L13.genome.CDS.2234,group00546
AAA041L13.genome.CDS.2934,group13199
AAA041L13.genome.CDS.2935,group13198
AAA041L13.genome.CDS.2937,group00012
AAA041L13.genome.CDS.2930,group04729
AAA041L13.genome.CDS.2931,group05307
AAA041L13.genome.CDS.1658,group01025
AAA041L13.genome.CDS.1659,group13007
AAA041L13.genome.CDS.2280,group12978
AAA041L13.genome.CDS.1650,group00152
AAA041L13.genome.CDS.1651,group00060
AAA041L13.genome.CDS.1652,group00057
AAA041L13.genome.CDS.2281,group00011
AAA041L13.genome.CDS.1654,group00002
AAA041L13.genome.CDS.1655,group00361
AAA041L13.genome.CDS.1656,group00612
AAA041L13.genome.CDS.1657,group00014
AAA041L13.genome.CDS.1034,group13013
AAA041L13.genome.CDS.239,group00910
AAA041L13.genome.CDS.1720,group00078
AAA041L13.genome.CDS.1721,group00168
AAA041L13.genome.CDS.1722,group00019
AAA041L13.genome.CDS.1723,group00085
AAA041L13.genome.CDS.1724,group00041
AAA041L13.genome.CDS.1725,group00166
AAA041L13.genome.CDS.1726,group00757
AAA041L13.genome.CDS.1727,group00125
AAA041L13.genome.CDS.1728,group00335
AAA041L13.genome.CDS.1729,group00120
AAA041L13.genome.CDS.2134,group00214
AAA041L13.genome.CDS.2135,group00280
AAA041L13.genome.CDS.2136,group00409
AAA041L13.genome.CDS.2137,group01678
AAA041L13.genome.CDS.2130,group00285
AAA041L13.genome.CDS.2131,group00174
AAA041L13.genome.CDS.2132,group01018
AAA041L13.genome.CDS.2133,group00281
AAA041L13.genome.CDS.2138,group01107
AAA041L13.genome.CDS.2139,group12960
AAA041L13.genome.CDS.2628,group13074
AAA041L13.genome.CDS.2629,group04553
AAA041L13.genome.CDS.2620,group04549
AAA041L13.genome.CDS.2621,group13063
AAA041L13.genome.CDS.2622,group05299
AAA041L13.genome.CDS.2623,group13062
AAA041L13.genome.CDS.2624,group13061
AAA041L13.genome.CDS.2625,group13060
AAA041L13.genome.CDS.2626,group00427
AAA041L13.genome.CDS.2627,group13059
AAA041L13.genome.CDS.1823,group00553
AAA041L13.genome.CDS.1822,group00665
AAA041L13.genome.CDS.1821,group00640
AAA041L13.genome.CDS.2249,group01172
AAA041L13.genome.CDS.2718,group00427
AAA041L13.genome.CDS.1826,group00526
AAA041L13.genome.CDS.1825,group01765
AAA041L13.genome.CDS.1824,group00966
AAA041L13.genome.CDS.2714,group01626
AAA041L13.genome.CDS.2243,group01200
AAA041L13.genome.CDS.2240,group00001
AAA041L13.genome.CDS.2717,group00652
AAA041L13.genome.CDS.2710,group01342
AAA041L13.genome.CDS.2711,group01099
AAA041L13.genome.CDS.2244,group01173
AAA041L13.genome.CDS.2713,group00918
AAA041L13.genome.CDS.2398,group05084
AAA041L13.genome.CDS.2399,group01041
AAA041L13.genome.CDS.2390,group00830
AAA041L13.genome.CDS.2391,group04023
AAA041L13.genome.CDS.2392,group04034
AAA041L13.genome.CDS.2393,group00010
AAA041L13.genome.CDS.2394,group00036
AAA041L13.genome.CDS.2395,group02213
AAA041L13.genome.CDS.2396,group03440
AAA041L13.genome.CDS.2397,group01974
AAA041L13.genome.CDS.1849,group02675
AAA041L13.genome.CDS.2400,group00460
AAA041L13.genome.CDS.2401,group00440
AAA041L13.genome.CDS.2402,group00288
AAA041L13.genome.CDS.2403,group00367
AAA041L13.genome.CDS.2404,group00732
AAA041L13.genome.CDS.2405,group00775
AAA041L13.genome.CDS.2406,group00846
AAA041L13.genome.CDS.2407,group00479
AAA041L13.genome.CDS.2408,group00486
AAA041L13.genome.CDS.2409,group00390
AAA041L13.genome.CDS.832,group00561
AAA041L13.genome.CDS.2241,group00302
AAA041L13.genome.CDS.1629,group00823
AAA041L13.genome.CDS.1628,group00005
AAA041L13.genome.CDS.1625,group00698
AAA041L13.genome.CDS.1624,group00255
AAA041L13.genome.CDS.1627,group00644
AAA041L13.genome.CDS.1626,group00723
AAA041L13.genome.CDS.1621,group00032
AAA041L13.genome.CDS.1620,group00502
AAA041L13.genome.CDS.1623,group00525
AAA041L13.genome.CDS.1622,group02589
AAA041L13.genome.CDS.1531,group01332
AAA041L13.genome.CDS.1530,group00537
AAA041L13.genome.CDS.1533,group00098
AAA041L13.genome.CDS.1532,group00097
AAA041L13.genome.CDS.1535,group00115
AAA041L13.genome.CDS.1534,group00122
AAA041L13.genome.CDS.1537,group00145
AAA041L13.genome.CDS.1536,group00172
AAA041L13.genome.CDS.1539,group00244
AAA041L13.genome.CDS.1538,group01005
AAA041L13.genome.CDS.1755,group00100
AAA041L13.genome.CDS.1754,group00131
AAA041L13.genome.CDS.1757,group00700
AAA041L13.genome.CDS.1756,group00099
AAA041L13.genome.CDS.1751,group00155
AAA041L13.genome.CDS.1750,group00132
AAA041L13.genome.CDS.1753,group00782
AAA041L13.genome.CDS.1752,group00567
AAA041L13.genome.CDS.1759,group00675
AAA041L13.genome.CDS.1758,group00566
AAA041L13.genome.CDS.2916,group00652
AAA041L13.genome.CDS.2179,group04549
AAA041L13.genome.CDS.2893,group13178
AAA041L13.genome.CDS.2892,group04457
AAA041L13.genome.CDS.2891,group04281
AAA041L13.genome.CDS.2890,group04458
AAA041L13.genome.CDS.2897,group13181
AAA041L13.genome.CDS.2896,group13182
AAA041L13.genome.CDS.2895,group13176
AAA041L13.genome.CDS.2894,group13177
AAA041L13.genome.CDS.2899,group13179
AAA041L13.genome.CDS.2898,group13180
AAA041L13.genome.CDS.2099,group00427
AAA041L13.genome.CDS.2098,group00469
AAA041L13.genome.CDS.2859,group00691
AAA041L13.genome.CDS.2093,group04035
AAA041L13.genome.CDS.2092,group00490
AAA041L13.genome.CDS.2091,group01091
AAA041L13.genome.CDS.2090,group01792
AAA041L13.genome.CDS.2097,group00733
AAA041L13.genome.CDS.2096,group00489
AAA041L13.genome.CDS.2095,group01545
AAA041L13.genome.CDS.2094,group01621
AAA041L13.genome.CDS.2879,group13167
AAA041L13.genome.CDS.2878,group13168
AAA041L13.genome.CDS.2659,group13078
AAA041L13.genome.CDS.2658,group13079
AAA041L13.genome.CDS.2655,group13081
AAA041L13.genome.CDS.2654,group04455
AAA041L13.genome.CDS.2657,group02901
AAA041L13.genome.CDS.2656,group13080
AAA041L13.genome.CDS.2875,group13170
AAA041L13.genome.CDS.2874,group03145
AAA041L13.genome.CDS.2653,group13082
AAA041L13.genome.CDS.2876,group13169
AAA041L13.genome.CDS.2854,group00569
AAA041L13.genome.CDS.2176,group12926
AAA041L13.genome.CDS.2919,group01039
AAA041L13.genome.CDS.1834,group00790
AAA041L13.genome.CDS.1835,group05075
AAA041L13.genome.CDS.1836,group00887
AAA041L13.genome.CDS.1837,group00712
AAA041L13.genome.CDS.1830,group00912
AAA041L13.genome.CDS.1831,group00789
AAA041L13.genome.CDS.2279,group00779
AAA041L13.genome.CDS.1833,group00884
AAA041L13.genome.CDS.2277,group00814
AAA041L13.genome.CDS.2276,group00020
AAA041L13.genome.CDS.2275,group01817
AAA041L13.genome.CDS.2274,group00021
AAA041L13.genome.CDS.2273,group00839
AAA041L13.genome.CDS.1839,group01081
AAA041L13.genome.CDS.2271,group01023
AAA041L13.genome.CDS.2270,group00786
AAA041L13.genome.CDS.2475,group02355
AAA041L13.genome.CDS.2474,group01791
AAA041L13.genome.CDS.2477,group01284
AAA041L13.genome.CDS.2476,group00073
AAA041L13.genome.CDS.2471,group01767
AAA041L13.genome.CDS.2470,group00181
AAA041L13.genome.CDS.2473,group00867
AAA041L13.genome.CDS.2472,group02170
AAA041L13.genome.CDS.2479,group01196
AAA041L13.genome.CDS.2478,group01223
AAA041L13.genome.CDS.2508,group04453
AAA041L13.genome.CDS.2501,group13019
AAA041L13.genome.CDS.2500,group13020
AAA041L13.genome.CDS.2503,group13017
AAA041L13.genome.CDS.2502,group13018
AAA041L13.genome.CDS.2505,group13016
AAA041L13.genome.CDS.2507,group13014
AAA041L13.genome.CDS.2506,group13015
AAA041L13.genome.CDS.2379,group00018
AAA041L13.genome.CDS.1638,group00010
AAA041L13.genome.CDS.1639,group00049
AAA041L13.genome.CDS.1636,group00540
AAA041L13.genome.CDS.1637,group00541
AAA041L13.genome.CDS.1634,group00763
AAA041L13.genome.CDS.1635,group00662
AAA041L13.genome.CDS.1632,group00515
AAA041L13.genome.CDS.1633,group00615
AAA041L13.genome.CDS.1630,group01230
AAA041L13.genome.CDS.1631,group00860
AAA041L13.genome.CDS.2679,group13086
AAA041L13.genome.CDS.1522,group00539
AAA041L13.genome.CDS.1523,group00096
AAA041L13.genome.CDS.1520,group02591
AAA041L13.genome.CDS.1521,group01280
AAA041L13.genome.CDS.1527,group00816
AAA041L13.genome.CDS.1296,group13128
AAA041L13.genome.CDS.1528,group00781
AAA041L13.genome.CDS.1529,group00951
AAA041L13.genome.CDS.2364,group00392
AAA041L13.genome.CDS.1746,group00931
AAA041L13.genome.CDS.1747,group00642
AAA041L13.genome.CDS.1744,group00205
AAA041L13.genome.CDS.1745,group00993
AAA041L13.genome.CDS.1742,group00548
AAA041L13.genome.CDS.1743,group00627
AAA041L13.genome.CDS.1740,group00246
AAA041L13.genome.CDS.1741,group00192
AAA041L13.genome.CDS.1748,group00879
AAA041L13.genome.CDS.1749,group00127
AAA041L13.genome.CDS.1984,group02483
AAA041L13.genome.CDS.366,group00332
AAA041L13.genome.CDS.2366,group00453
AAA041L13.genome.CDS.2884,group03562
AAA041L13.genome.CDS.2885,group04461
AAA041L13.genome.CDS.2886,group04462
AAA041L13.genome.CDS.2887,group04463
AAA041L13.genome.CDS.2882,group13172
AAA041L13.genome.CDS.2883,group13171
AAA041L13.genome.CDS.2888,group13175
